,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lebu,0,ET,1537664159,82,8.96,38.73,6.31,1.86
1,Natal,0,BR,1537660800,78,-5.81,-35.21,24.0,3.1
2,Nador,0,MA,1537662600,94,35.17,-2.93,22.0,2.41
3,Rome,0,IT,1537662000,82,41.89,12.48,20.0,2.1
4,Hobart,75,AU,1537662600,75,-42.88,147.33,8.0,4.1
5,Cabo San Lucas,5,MX,1537659840,70,22.89,-109.91,30.0,3.6
6,Houma,48,CN,1537664161,72,35.63,111.36,14.91,1.41
7,San Patricio,12,PY,1537664161,79,-26.98,-56.83,25.11,2.21
8,Koutsouras,0,GR,1537664162,100,35.03,25.95,23.91,1.96
9,Koutsouras,0,GR,1537664162,100,35.03,25.95,23.91,1.96
10,Lavrentiya,0,RU,1537664162,88,65.58,-170.99,8.01,9.71
11,Mareeba,75,AU,1537662600,57,-16.99,145.42,26.0,10.3
12,Busselton,48,AU,1537664163,100,-33.64,115.35,13.56,2.61
13,Hermanus,0,ZA,1537664163,100,-34.42,19.24,2.21,1.36
14,Saint George,0,GR,1537660200,63,39.45,22.34,17.0,0.61
15,Davydivka,8,UA,1537664164,94,50.53,28.41,8.01,4.51
16,Bredasdorp,0,ZA,1537660800,93,-34.53,20.04,6.0,1.61
17,Mataura,92,NZ,1537664165,93,-46.19,168.86,11.91,7.21
18,Albany,75,US,1537660440,64,42.65,-73.75,15.0,1.5
19,Rikitea,88,PF,1537664166,100,-23.12,-134.97,21.66,3.31
20,Meulaboh,0,ID,1537664166,100,4.14,96.13,25.31,2.66
21,At-Bashi,100,KG,1537664166,100,41.17,75.81,5.26,0.86
22,Bundaberg,0,AU,1537664167,90,-24.87,152.35,21.61,5.46
23,Ayagoz,32,KZ,1537664167,85,47.96,80.43,7.11,2.76
24,Faanui,88,PF,1537664167,100,-16.48,-151.75,24.16,8.56
25,Faanui,88,PF,1537664167,100,-16.48,-151.75,24.16,8.56
26,Punta Arenas,20,CL,1537660800,100,-53.16,-70.91,0.0,2.1
27,Bluff,0,AU,1537664168,45,-23.58,149.07,23.81,3.41
28,Kushima,75,JP,1537660800,78,31.5,131.29,26.0,1.5
29,Mizdah,0,LY,1537664169,46,31.45,12.98,23.16,4.01
30,Flinders,90,AU,1537660800,59,-34.58,150.85,17.0,3.6
31,Kikwit,32,CD,1537664169,87,-5.04,18.82,23.26,0.86
32,La Sarre,92,CA,1537663928,96,48.8,-79.2,9.31,7.26
33,Kaitangata,8,NZ,1537664170,65,-46.28,169.85,15.26,8.61
34,Kaitangata,8,NZ,1537664170,65,-46.28,169.85,15.26,8.61
35,Namatanai,20,PG,1537664171,99,-3.66,152.44,28.76,3.86
36,Qaanaaq,0,GL,1537664171,100,77.48,-69.36,-8.25,5.01
37,Dingle,24,PH,1537664171,100,11.0,122.67,24.81,1.56
38,Jamestown,48,AU,1537664142,42,-33.21,138.6,16.61,2.01
39,Provideniya,0,RU,1537664172,94,64.42,-173.23,7.56,9.31
40,Salalah,0,OM,1537660200,73,17.01,54.1,23.0,1.5
41,Salalah,0,OM,1537660200,73,17.01,54.1,23.0,1.5
42,Port Blair,0,IN,1537664172,100,11.67,92.75,27.86,3.86
43,Bethel,90,US,1537661520,96,60.79,-161.76,10.0,10.8
44,Nesna,92,NO,1537664033,100,66.2,13.02,5.61,4.91
45,Leningradskiy,92,RU,1537664174,100,69.38,178.42,5.11,0.31
46,Leningradskiy,92,RU,1537664174,100,69.38,178.42,5.11,0.31
47,Burnie,44,AU,1537664175,100,-41.05,145.91,10.61,7.31
